"Food ID"	"Name"	"Optional Name"	"Description"	"Scientific Name"	"Derivation"	"Nitrogen Factor"	"Fat Factor"	"Specific Gravity"	"Sampling details"	"Inedible Portion"	"Edible Portion"	"Group"	"Sub Group"	"Sort Order"
"10F40015"	"Beef, extract, bonox"	"Bonox"	"Concentrated beef extract rich in iron, niacin and folate. Thick dark brown liquid paste added to soups or stews for flavouring or to hot water for a salty beverage."	""	"Analysed"	"6.25"	"0.956"	"0.000"	"The majority of nutrients including proximates, vitamins and minerals were derived from a composite sample of six purchases of Kraft Bonox concentrated beef extract purchased in Adelaide in 1990 (AGAL 1990). Vitamin C, cholesterol and retinol values were imputed based on international literature."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"1"
"10E10081"	"Chilli (chili) powder"	""	"Spice mixture composed of dried ground red chillies, salt and sometimes other spices."	""	"NNS 1995"	"6.25"	"0.800"	"0.000"	"The majority of nutrients were compiled for AUSNUT 1999. Individual carotenoids were borrowed from USDA 17, record 2009. No further information is available. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"2"
"10E10090"	"Chillies (chilies), dried, ground"	""	"Dried and ground fruit of Capsicum spp, characterised by a hot sensation when consumed as a spice. Includes cayenne pepper, dried ground red pepper."	"Capsicum spp"	"Calculated"	"6.25"	"0.800"	"0.000"	"Data compiled from a range of literature sources. Cholesterol imputed zero. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"3"
"10E10082"	"Cinnamon, ground"	""	"Dried and ground bark or quills of Cinnamomum verum, C. zeylanicum or C. aromaticum, used as a spice."	"Cinnamomum verum, C zeylanicum or C. aromaticum"	"Borrowed"	"6.25"	"0.956"	"0.000"	"Data compiled from USDA 16 and 19, record 02010 and the UK 5th edition, record 839. Retinol and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"4"
"10E10089"	"Cloves, ground"	""	"Dried and ground, unopened flower buds of Syzyghum aromaticum, used as a spice."	"Syzyghym aromaticum"	"Calculated"	"6.25"	"0.956"	"0.000"	"Data compiled from a range of literature sources. Cholesterol imputed zero. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"5"
"10E10083"	"Coriander seed, ground"	""	"Dried and ground fruit or seed of Coriandrum sativum, used as a spice."	"Coriandrum sativum"	"Borrowed"	"6.25"	"0.956"	"0.000"	"Data compiled from USDA record 02012, published literature Pradeep et al (1993) and the food industry. Cholesterol imputed zero. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"6"
"10E10076"	"Cumin (cummin) seeds, ground"	""	"Dried and ground fruit or seeds of Cuminum cymimum, used as a spice."	"Cuminum cymimum"	"Borrowed"	"6.25"	"0.956"	"0.000"	"Data compiled from USDA 16, record 02014 and published literature Pradeep et al (1993). Cholesterol imputed zero. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"7"
"10E10079"	"Curry powder"	""	"Dried and ground mixture of spices for use in the preparation of Indian-style meals. Typical ingredients include the spices cumin, coriander seed and turmeric."	""	"Analysed"	"6.25"	"0.956"	"0.000"	"Data compiled from nutrient analyses conducted before 1990. No further information available. Folate borrowed from UK 6th edition, record 905. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"8"
"10E10084"	"Ginger, dried, ground"	""	"Dried and ground rhizome of Zingiber officinale, used as a spice."	"Zingiber officinale"	"Borrowed"	"6.25"	"0.800"	"0.000"	"Data compiled from USDA, record 02021 and published literature Pradeep et al 1993. Cholesterol imputed zero. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"9"
"10E10078"	"Mustard powder, dry"	""	"Dry powder composed of ground yellow mustard seeds, for use in preparation of mustard paste or incorporation into other foods."	""	"Analysed"	"6.25"	"0.956"	"0.000"	"The majority of nutrients were derived from a composite sample of 6 purchases, composed of two brands of mustard powder purchased in Adelaide in March 1990. Cholesterol imputed zero. Note low sum of proximates - data should be used with caution."	"nil"	"100%"	"Additives and Food Ingredients"	"Herbs, Seasonings and Spices"	"10"
