"Food ID"	"Nutrient ID"	"Description"	"Scale"	"Value"	"Category"	""
"01A10064"	"ENERGY-04DF"	"Energy, including dietary fibre"	"kJ"	"149"	"PRO"	""
"01A10064"	"MOIS"	"Moisture"	"g"	"95.4"	"PRO"	""
"01A10064"	"PROT"	"Protein"	"g"	".4"	"PRO"	""
"01A10064"	"NIT"	"Nitrogen"	"g"	".06"	"PRO"	""
"01A10064"	"FAT"	"Fat"	"g"	"0"	"PRO"	""
"01A10064"	"ASH"	"Ash"	"g"	".1"	"PRO"	""
"01A10064"	"AOACDFTOTW"	"Dietary fibre"	"g"	"0"	"PRO"	""
"01A10064"	"ETOHM"	"Ethanol"	"g"	"4.1"	"PRO"	""
"01A10064"	"FRU"	"Fructose"	"g"	"0"	"PRO"	""
"01A10064"	"GLUC"	"Glucose"	"g"	"0"	"PRO"	""
"01A10064"	"SUC"	"Sucrose"	"g"	"0"	"PRO"	""
"01A10064"	"MALT"	"Maltose"	"g"	"0"	"PRO"	""
"01A10064"	"LACT"	"Lactose"	"g"	"0"	"PRO"	""
"01A10064"	"MALT3"	"Maltotriose"	"g"	".1"	"PRO"	""
"01A10064"	"TOTALSUGARS"	"Total sugars"	"g"	"0"	"PRO"	""
"01A10064"	"STARCH"	"Starch"	"g"	"0"	"PRO"	""
"01A10064"	"DEXTRIN"	"Dextrin"	"g"	"1.3"	"PRO"	""
"01A10064"	"AVAILCHO"	"Available carbohydrate, without sugar alcohols"	"g"	"1.4"	"PRO"	""
"01A10064"	"AVAILCHOCNS"	"Available carbohydrate, with sugar alcohols"	"g"	"1.4"	"CHO"	""
"01A10064"	"ACETIC"	"Acetic acid"	"g"	"0"	"OA"	""
"01A10064"	"CITRIC"	"Citric acid"	"g"	"0"	"OA"	""
"01A10064"	"LACTIC"	"Lactic acid"	"g"	"0"	"OA"	""
"01A10064"	"MALIC"	"Malic acid"	"g"	"0"	"OA"	""
"01A10064"	"QUINIC"	"Quinic acid"	"g"	"0"	"OA"	""
"01A10064"	"SB"	"Antimony (Sb)"	"ug"	"0"	"MNS"	""
"01A10064"	"AS"	"Arsenic (As)"	"ug"	".4"	"MNS"	""
"01A10064"	"CD"	"Cadmium (Cd)"	"ug"	"0"	"MNS"	""
"01A10064"	"CA"	"Calcium (Ca)"	"mg"	"4"	"MNS"	""
"01A10064"	"CR"	"Chromium (Cr)"	"ug"	".7"	"MNS"	""
"01A10064"	"CU"	"Copper (Cu)"	"mg"	".002"	"MNS"	""
"01A10064"	"F"	"Fluoride (F)"	"ug"	"60.36"	"MNS"	""
"01A10064"	"I"	"Iodine (I)"	"ug"	".5"	"MNS"	""
"01A10064"	"FE"	"Iron (Fe)"	"mg"	".06"	"MNS"	""
"01A10064"	"PB"	"Lead (Pb)"	"ug"	"0"	"MNS"	""
"01A10064"	"MG"	"Magnesium (Mg)"	"mg"	"8"	"MNS"	""
"01A10064"	"HG"	"Mercury (Hg)"	"ug"	"0"	"MNS"	""
"01A10064"	"MO"	"Molybdenum (Mo)"	"ug"	"0"	"MNS"	""
"01A10064"	"NI"	"Nickel (Ni)"	"ug"	"1"	"MNS"	""
"01A10064"	"P"	"Phosphorus (P)"	"mg"	"15"	"MNS"	""
"01A10064"	"K"	"Potassium (K)"	"mg"	"36"	"MNS"	""
"01A10064"	"SE"	"Selenium (Se)"	"ug"	"0"	"MNS"	""
"01A10064"	"NA"	"Sodium (Na)"	"mg"	"10"	"MNS"	""
"01A10064"	"S"	"Sulphur (S)"	"mg"	"8"	"MNS"	""
"01A10064"	"SN"	"Tin (Sn)"	"ug"	"0"	"MNS"	""
"01A10064"	"ZN"	"Zinc (Zn)"	"mg"	"0"	"MNS"	""
"01A10064"	"B1"	"Thiamin (B1)"	"mg"	"0"	"VIT"	""
"01A10064"	"B2"	"Riboflavin (B2)"	"mg"	".04"	"VIT"	""
"01A10064"	"B3"	"Niacin (B3)"	"mg"	".44"	"VIT"	""
"01A10064"	"NIACIN EQUIVALENTS"	"Niacin equivalents"	"mg"	".51"	"VIT"	""
"01A10064"	"PANT"	"Pantothenic acid (B5)"	"mg"	".06"	"VIT"	""
"01A10064"	"B6"	"Pyridoxine (B6)"	"mg"	".03"	"VIT"	""
"01A10064"	"BIOTIN"	"Biotin (B7)"	"ug"	"1"	"VIT"	""
"01A10064"	"B12"	"Cobalamin (B12)"	"ug"	"0"	"VIT"	""
"01A10064"	"FOLFD"	"Folate, natural"	"ug"	"0"	"VIT"	""
"01A10064"	"FOLATETOT"	"Total folates"	"ug"	"0"	"VIT"	""
"01A10064"	"FOLDFE-04"	"Dietary folate equivalents"	"ug"	"0"	"VIT"	""
"01A10064"	"ACAR"	"Alpha carotene"	"ug"	"0"	"VIT"	""
"01A10064"	"BCAR"	"Beta carotene"	"ug"	"0"	"VIT"	""
"01A10064"	"CRYP"	"Cryptoxanthin"	"ug"	"0"	"VIT"	""
"01A10064"	"BCAREQ-04"	"Beta carotene equivalents"	"ug"	"0"	"VIT"	""
"01A10064"	"RET"	"Retinol"	"ug"	"0"	"VIT"	""
"01A10064"	"RETEQ-05"	"Retinol equivalents"	"ug"	"0"	"VIT"	""
"01A10064"	"VITC"	"Vitamin C"	"mg"	"2"	"VIT"	""
"01A10064"	"S16"	"C16"	"%T"	"0"	"FA"	""
"01A10064"	"TOTAL_SATURAT-04"	"Total saturated fatty acids (%)"	"%T"	"0"	"FA"	""
"01A10064"	"M18"	"C18:1"	"%T"	"0"	"FA"	""
"01A10064"	"TOTAL MONOUNSATURATED FAT (%)"	"Total monounsaturated fatty acids (%)"	"%T"	"0"	"FA"	""
"01A10064"	"P182W6"	"C18:2w6"	"%T"	"0"	"FA"	""
"01A10064"	"P183W3"	"C18:3w3"	"%T"	"0"	"FA"	""
"01A10064"	"P205W3"	"C20:5w3"	"%T"	"0"	"FA"	""
"01A10064"	"TOTAL POLYUNSATURATED FAT (%)"	"Total polyunsaturated fatty acids (%)"	"%T"	"0"	"FA"	""
"01A10064"	"LCW3TOTAL"	"Total long chain omega 3 fatty acids (%)"	"%T"	"0"	"FA"	""
"01A10064"	"S16FD"	"C16FD"	"g"	"0"	"FA"	""
"01A10064"	"TOTALSATURATFD-04"	"Total saturated fatty acids (g)"	"g"	"0"	"FA"	""
"01A10064"	"M18FD"	"C18:1FD"	"g"	"0"	"FA"	""
"01A10064"	"TOTAL MONOUNSATURATED FAT (FD)"	"Total monounsaturated fatty acids (g)"	"g"	"0"	"FA"	""
"01A10064"	"P182W6FD"	"C18:2w6FD"	"g"	"0"	"FA"	""
"01A10064"	"P183W3FD"	"C18:3w3FD"	"g"	"0"	"FA"	""
"01A10064"	"P205W3FD"	"C20:5w3FD"	"mg"	"0"	"FA"	""
"01A10064"	"TOTAL POLYUNSATURATED FAT (FD)"	"Total polyunsaturated fatty acids (g)"	"g"	"0"	"FA"	""
"01A10064"	"LCW3TOTALFD"	"Total long chain omega 3 fatty acids (mg)"	"mg"	"0"	"FA"	""
"01A10064"	"CHOL"	"Cholesterol"	"mg"	"0"	"FA"	""
"01A10065"	"ENERGY-04DF"	"Energy, including dietary fibre"	"kJ"	"152"	"PRO"	""
"01A10065"	"MOIS"	"Moisture"	"g"	"95.8"	"PRO"	""
"01A10065"	"PROT"	"Protein"	"g"	".3"	"PRO"	""
"01A10065"	"NIT"	"Nitrogen"	"g"	".04"	"PRO"	""
"01A10065"	"FAT"	"Fat"	"g"	"0"	"PRO"	""
"01A10065"	"ASH"	"Ash"	"g"	".1"	"PRO"	""
