"Food ID"	"Food Name"	"Total Weight Change (%)"	"Ingredient ID"	"Ingredient Name"	"Ingredient Weight (g)"	"Retention Factor"
"01B10294"	"Beverage, chocolate flavour, from cocoa powder, with regular fat milk & sugar"	"0.0"	"09A10163"	"Milk, cow, fluid, regular fat (~3.5%)"	"258.000"	"2151"
"01B10294"	"Beverage, chocolate flavour, from cocoa powder, with regular fat milk & sugar"	"0.0"	"01B10288"	"Cocoa powder"	"5.000"	"0"
"01B10294"	"Beverage, chocolate flavour, from cocoa powder, with regular fat milk & sugar"	"0.0"	"12A10064"	"Sugar, white, granulated or lump"	"5.000"	"0"
"01B10295"	"Beverage, chocolate flavour, from drinking chocolate, with regular fat milk"	"0.0"	"09A10163"	"Milk, cow, fluid, regular fat (~3.5%)"	"203.000"	"2151"
"01B10295"	"Beverage, chocolate flavour, from drinking chocolate, with regular fat milk"	"0.0"	"01B10284"	"Beverage base, drinking chocolate, unfortified"	"15.000"	"0"
"01B10293"	"Beverage, chocolate flavour, from base (Milo), with regular fat milk"	"0.0"	"01B10281"	"Beverage base, chocolate flavour, added minerals calcium & iron & vitamins A, B1, B2, C & D"	"20.000"	"0"
"01B10293"	"Beverage, chocolate flavour, from base (Milo), with regular fat milk"	"0.0"	"09A10163"	"Milk, cow, fluid, regular fat (~3.5%)"	"205.000"	"0"
"01B10292"	"Coffee, from ground coffee beans, cappuccino, with milk"	"0.0"	"01B10291"	"Coffee, from ground coffee beans, espresso style, without milk"	"50.000"	"0"
"01B10292"	"Coffee, from ground coffee beans, cappuccino, with milk"	"0.0"	"09A10162"	"Milk, cow, fluid, reduced fat (~1.5%), increased protein (~4%)"	"103.000"	"2151"
"01B20362"	"Cordial, 25% blackcurrant juice, recommended dilution"	"0.0"	"01B20331"	"Cordial base, 25% blackcurrant juice"	"61.000"	"0"
"01B20362"	"Cordial, 25% blackcurrant juice, recommended dilution"	"0.0"	"01B10277"	"Water, tap"	"250.000"	"0"
"01B20363"	"Cordial, 25% citrus fruit juice, recommended dilution"	"0.0"	"01B20332"	"Cordial base, 25% citrus fruit juice (orange & lemon)"	"61.000"	"0"
"01B20363"	"Cordial, 25% citrus fruit juice, recommended dilution"	"0.0"	"01B10277"	"Water, tap"	"200.000"	"0"
"01B20365"	"Cordial, 40% citrus fruit juice, recommended dilution"	"0.0"	"01B20334"	"Cordial base, 40% citrus fruit juice (orange, lemon or lime)"	"61.000"	"0"
"01B20365"	"Cordial, 40% citrus fruit juice, recommended dilution"	"0.0"	"01B10277"	"Water, tap"	"200.000"	"0"
"01B20369"	"Cordial, lime fruit juice, recommended dilution"	"0.0"	"01B20355"	"Cordial base, lime fruit juice"	"61.000"	"0"
"01B20369"	"Cordial, lime fruit juice, recommended dilution"	"0.0"	"01B10277"	"Water, tap"	"250.000"	"0"
"01B20367"	"Cordial, citrus fruit juice, intense sweetened, recommended dilution"	"0.0"	"01B20336"	"Cordial base, 25% citrus fruit juice (orange or lemon), intense sweetened"	"52.000"	"0"
"01B20367"	"Cordial, citrus fruit juice, intense sweetened, recommended dilution"	"0.0"	"01B10277"	"Water, tap"	"200.000"	"0"
"01B20364"	"Cordial, 25% non-citrus fruit juice, recommended dilution"	"0.0"	"01B20333"	"Cordial base, 25% non-citrus fruit juice (apple & berry)"	"61.000"	"0"
"01B20364"	"Cordial, 25% non-citrus fruit juice, recommended dilution"	"0.0"	"01B10277"	"Water, tap"	"200.000"	"0"
"01B20366"	"Cordial, 40% non-citrus fruit juice, recommended dilution"	"0.0"	"01B20335"	"Cordial base, 40% non-citrus fruit juice (apple & berry)"	"61.000"	"0"
"01B20366"	"Cordial, 40% non-citrus fruit juice, recommended dilution"	"0.0"	"01B10277"	"Water, tap"	"200.000"	"0"
"01B20368"	"Cordial, non-citrus fruit juice, intense sweetened, recommended dilution"	"0.0"	"01B20337"	"Cordial base, 25% non-citrus fruit juice (apple & berry), intense sweetened"	"50.000"	"0"
"01B20368"	"Cordial, non-citrus fruit juice, intense sweetened, recommended dilution"	"0.0"	"01B10277"	"Water, tap"	"200.000"	"0"
"01B30316"	"Juice concentrate, orange"	"-70.0"	"01B30315"	"Juice, orange, sweetened, added vitamin C"	"100.000"	"0"
"02C20280"	"Biscuit, sweet, Anzac style, homemade"	"-6.0"	"11B10178"	"Coconut, grated & desiccated"	"56.000"	"2201"
"02C20280"	"Biscuit, sweet, Anzac style, homemade"	"-6.0"	"04A10060"	"Butter, salted"	"125.000"	"0"
"02C20280"	"Biscuit, sweet, Anzac style, homemade"	"-6.0"	"02A10290"	"Oats, rolled, raw"	"95.000"	"0"
"02C20280"	"Biscuit, sweet, Anzac style, homemade"	"-6.0"	"02A20079"	"Flour, wheat, white, plain"	"140.000"	"301"
"02C20280"	"Biscuit, sweet, Anzac style, homemade"	"-6.0"	"12A10064"	"Sugar, white, granulated or lump"	"266.000"	"0"
"02C20280"	"Biscuit, sweet, Anzac style, homemade"	"-6.0"	"14B10123"	"Baking soda (bicarbonate), dry powder"	"5.000"	"0"
"02C20280"	"Biscuit, sweet, Anzac style, homemade"	"-6.0"	"01B10277"	"Water, tap"	"20.000"	"0"
"02C20282"	"Biscuit, sweet, chocolate chip, homemade"	"-6.0"	"10F60080"	"Salt, table, non-iodised"	"3.600"	"0"
"02C20282"	"Biscuit, sweet, chocolate chip, homemade"	"-6.0"	"04A10060"	"Butter, salted"	"125.000"	"0"
"02C20282"	"Biscuit, sweet, chocolate chip, homemade"	"-6.0"	"12C10351"	"Chocolate, dark, high cocoa solids"	"185.000"	"2203"
"02C20282"	"Biscuit, sweet, chocolate chip, homemade"	"-6.0"	"12A10064"	"Sugar, white, granulated or lump"	"210.000"	"0"
"02C20282"	"Biscuit, sweet, chocolate chip, homemade"	"-6.0"	"03A10060"	"Egg, chicken, whole, raw"	"50.000"	"101"
"02C20282"	"Biscuit, sweet, chocolate chip, homemade"	"-6.0"	"02A20078"	"Flour, wheat, white, self-raising"	"245.000"	"301"
"02C20281"	"Biscuit, sweet, shortbread style, homemade"	"-5.0"	"04A10060"	"Butter, salted"	"250.000"	"0"
"02C20281"	"Biscuit, sweet, shortbread style, homemade"	"-5.0"	"12A10064"	"Sugar, white, granulated or lump"	"105.000"	"0"
"02C20281"	"Biscuit, sweet, shortbread style, homemade"	"-5.0"	"02A20079"	"Flour, wheat, white, plain"	"280.000"	"301"
"02C20281"	"Biscuit, sweet, shortbread style, homemade"	"-5.0"	"02A20082"	"Flour, rice"	"60.000"	"301"
"02B10515"	"Bagel, from white flour, toasted"	"-12.0"	"02B10552"	"Bagel, from white flour"	"100.000"	"306"
"02B10555"	"Bread, brown (mixture of white & wholemeal flour), toasted"	"-15.0"	"02B10554"	"Bread, brown (mixture of white & wholemeal flour)"	"100.000"	"306"
"02B10516"	"Bread, damper, added salt, homemade"	"-9.0"	"04A10060"	"Butter, salted"	"40.000"	"0"
"02B10516"	"Bread, damper, added salt, homemade"	"-9.0"	"12A10064"	"Sugar, white, granulated or lump"	"8.000"	"0"
"02B10516"	"Bread, damper, added salt, homemade"	"-9.0"	"01B10277"	"Water, tap"	"310.000"	"0"
"02B10516"	"Bread, damper, added salt, homemade"	"-9.0"	"02A20078"	"Flour, wheat, white, self-raising"	"525.000"	"301"
"02B10516"	"Bread, damper, added salt, homemade"	"-9.0"	"09A10163"	"Milk, cow, fluid, regular fat (~3.5%)"	"129.000"	"2152"
"02B10516"	"Bread, damper, added salt, homemade"	"-9.0"	"10F60080"	"Salt, table, non-iodised"	"6.000"	"0"
"02B10547"	"Bread, from white flour, toasted"	"-16.0"	"02B10546"	"Bread, from white flour"	"100.000"	"306"
"02B10560"	"Bread, from white flour, added calcium, toasted"	"-14.0"	"02B10559"	"Bread, from white flour, added calcium"	"100.000"	"306"
"02B10562"	"Bread, from wheat flour, added dried fruit, toasted"	"-10.0"	"02B10561"	"Bread, from wheat flour, added dried fruit"	"100.000"	"306"
"02B10564"	"Bread, from white flour, added fibre, toasted"	"-16.0"	"02B10563"	"Bread, from white flour, added fibre"	"100.000"	"306"
"02B10566"	"Bread, from white flour, added iron, toasted"	"-14.0"	"02B10565"	"Bread, from white flour, added iron"	"100.000"	"306"
"02B10568"	"Bread, from white flour, added protein, toasted"	"-14.0"	"02B10567"	"Bread, from white flour, added protein"	"100.000"	"306"
"02B10570"	"Bread, from white flour, added omega-3 polyunsaturates, toasted"	"-14.0"	"02B10569"	"Bread, from white flour, added omega-3 polyunsaturates"	"100.000"	"306"
"02B10510"	"Bread, from white flour, homemade, added salt"	"-9.0"	"01B10277"	"Water, tap"	"300.000"	"0"
"02B10510"	"Bread, from white flour, homemade, added salt"	"-9.0"	"10F60080"	"Salt, table, non-iodised"	"8.000"	"0"
"02B10510"	"Bread, from white flour, homemade, added salt"	"-9.0"	"02A20077"	"Flour, wheat, white, high protein or bread making flour"	"500.000"	"301"
"02B10510"	"Bread, from white flour, homemade, added salt"	"-9.0"	"04C10073"	"Oil, olive"	"15.000"	"0"
"02B10510"	"Bread, from white flour, homemade, added salt"	"-9.0"	"12A10064"	"Sugar, white, granulated or lump"	"5.000"	"0"
"02B10510"	"Bread, from white flour, homemade, added salt"	"-9.0"	"10F30008"	"Yeast, bakers, compressed"	"19.200"	"0"
"02B10511"	"Bread, from white flour, homemade, added salt, toasted"	"-14.0"	"02B10510"	"Bread, from white flour, homemade, added salt"	"100.000"	"306"
"02B10572"	"Bread roll, from white flour, toasted"	"-14.0"	"02B10571"	"Bread roll, from white flour"	"100.000"	"306"
"02B10549"	"Bread, from wholemeal flour, toasted"	"-15.0"	"02B10548"	"Bread, from wholemeal flour"	"100.000"	"306"
"02B10574"	"Bread, from wholemeal flour, added fibre, toasted"	"-16.0"	"02B10573"	"Bread, from wholemeal flour, added fibre"	"100.000"	"306"
"02B10576"	"Bread, from wholemeal flour, grain & seeds, toasted"	"-15.0"	"02B10575"	"Bread, from wholemeal flour, grains & seeds"	"100.000"	"306"
"02B10520"	"Bread, from wholemeal flour, homemade, added salt"	"-9.0"	"12A10064"	"Sugar, white, granulated or lump"	"5.000"	"0"
"02B10520"	"Bread, from wholemeal flour, homemade, added salt"	"-9.0"	"10F60080"	"Salt, table, non-iodised"	"8.000"	"0"
"02B10520"	"Bread, from wholemeal flour, homemade, added salt"	"-9.0"	"01B10277"	"Water, tap"	"300.000"	"0"
"02B10520"	"Bread, from wholemeal flour, homemade, added salt"	"-9.0"	"02A20080"	"Flour, wheat, wholemeal, plain"	"500.000"	"301"
"02B10520"	"Bread, from wholemeal flour, homemade, added salt"	"-9.0"	"10F30008"	"Yeast, bakers, compressed"	"19.200"	"0"
"02B10520"	"Bread, from wholemeal flour, homemade, added salt"	"-9.0"	"04C10073"	"Oil, olive"	"15.000"	"0"
"02B10521"	"Bread, from wholemeal flour, homemade, added salt, toasted"	"-15.0"	"02B10520"	"Bread, from wholemeal flour, homemade, added salt"	"100.000"	"306"
"02B10578"	"Bread roll, from wholemeal flour, toasted"	"-15.0"	"02B10577"	"Bread roll, from wholemeal flour"	"100.000"	"306"
"02B10580"	"Bread, from rye flour, dark, toasted"	"-15.0"	"02B10579"	"Bread, from rye flour, dark"	"100.000"	"306"
"02B10582"	"Bread, from rye flour, light, toasted"	"-15.0"	"02B10581"	"Bread, from rye flour, light"	"100.000"	"306"
"02F30177"	"Bread, garlic, made with butter, commercial"	"-5.0"	"04A10060"	"Butter, salted"	"13.000"	"0"
"02F30177"	"Bread, garlic, made with butter, commercial"	"-5.0"	"13A11403"	"Garlic, peeled, raw"	"3.000"	"0"
"02F30177"	"Bread, garlic, made with butter, commercial"	"-5.0"	"13A11457"	"Parsley, curly, raw"	"0.500"	"0"
"02F30177"	"Bread, garlic, made with butter, commercial"	"-5.0"	"10F60080"	"Salt, table, non-iodised"	"0.200"	"0"
"02F30177"	"Bread, garlic, made with butter, commercial"	"-5.0"	"02B10571"	"Bread roll, from white flour"	"83.000"	"304"
"02F30178"	"Bread, garlic, made with margarine spread, commercial"	"-5.0"	"13A11403"	"Garlic, peeled, raw"	"3.000"	"0"
"02F30178"	"Bread, garlic, made with margarine spread, commercial"	"-5.0"	"13A11457"	"Parsley, curly, raw"	"0.500"	"0"
"02F30178"	"Bread, garlic, made with margarine spread, commercial"	"-5.0"	"10F60080"	"Salt, table, non-iodised"	"0.200"	"0"
"02F30178"	"Bread, garlic, made with margarine spread, commercial"	"-5.0"	"04B10069"	"Margarine spread, polyunsaturated (70% fat)"	"13.000"	"0"
"02F30178"	"Bread, garlic, made with margarine spread, commercial"	"-5.0"	"02B10571"	"Bread roll, from white flour"	"82.000"	"304"
"02B10514"	"Bread, gluten free, homemade"	"-9.0"	"02A10285"	"Buckwheat groats, raw"	"180.000"	"301"
"02B10514"	"Bread, gluten free, homemade"	"-9.0"	"02A10286"	"Cornmeal (polenta), raw"	"225.000"	"301"
